model,epoch,top1,top5,use_ema
mixnet_xl,0,0.07,0.488,False
mixnet_xl,1,6.536,19.212,False
mixnet_xl,2,22.108,46.122,False
mixnet_xl,4,42.728,69.166,False
mixnet_xl,8,57.378,81.886,False
mixnet_xl,32,70.644,90.222,False
mixnet_xl,64,74.486,92.244,False
mixnet_xl,128,77.24,93.632,False
mixnet_xl,256,79.118,94.42,False
mixnet_xl,384,79.518,94.504,False
mixnet_s,0,0.138,0.534,False
mixnet_s,1,13.252,32.276,False
mixnet_s,2,28.216,54.026,False
mixnet_s,4,40.398,66.89,False
mixnet_s,8,53.192,78.09,False
mixnet_s,32,61.404,83.976,False
mixnet_s,64,65.156,86.538,False
mixnet_s,128,69.478,89.246,False
mixnet_m,0,0.1,0.48,False
mixnet_m,1,8.9,23.966,False
mixnet_m,2,23.184,47.344,False
mixnet_m,4,40.538,66.966,False
mixnet_m,8,54.194,79.084,False
mixnet_m,32,65.948,87.492,False
mixnet_m,64,69.622,89.488,False
mixnet_m,128,72.942,91.28,False
mixnet_m,256,75.884,92.914,False
mixnet_m,384,76.692,93.202,False
mixnet_l,0,0.084,0.56,False
mixnet_l,1,10.234,26.978,False
mixnet_l,2,26.318,51.898,False
mixnet_l,4,44.746,71.17,False
mixnet_l,8,56.984,81.488,False
mixnet_l,32,67.48,88.164,False
mixnet_l,64,71.946,90.756,False
mixnet_l,128,75.172,92.33,False
mixnet_l,256,77.786,93.716,False
mixnet_xl,0,0.1,0.502,True
mixnet_xl,1,0.1,0.496,True
mixnet_xl,2,0.1,0.5,True
mixnet_xl,4,0.1,0.596,True
mixnet_xl,8,0.0092,0.5415,True
mixnet_xl,32,70.78,90.144,True
mixnet_xl,64,76.92,93.454,True
mixnet_xl,128,79.322,94.586,True
mixnet_xl,256,79.842,94.802,True
mixnet_xl,384,79.798,94.586,True
mixnet_s,0,0.1,0.54,True
mixnet_s,1,0.1,0.524,True
mixnet_s,2,0.104,0.562,True
mixnet_s,4,0.102,0.622,True
mixnet_s,8,19.114,40.732,True
mixnet_s,32,67.35,87.84,True
mixnet_s,64,70.08,89.412,True
mixnet_s,128,72.646,90.732,True
mixnet_m,0,0.1,0.5,True
mixnet_m,1,0.1,0.5,True
mixnet_m,2,0.1,0.5,True
mixnet_m,4,0.1,0.512,True
mixnet_m,8,0.16,0.966,True
mixnet_m,32,69.468,89.118,True
mixnet_m,64,72.774,91.1,True
mixnet_m,128,75.086,92.316,True
mixnet_m,256,76.5,93.182,True
mixnet_m,384,76.814,93.296,True
mixnet_l,0,0.1,0.524,True
mixnet_l,1,0.1,0.506,True
mixnet_l,2,0.1,0.536,True
mixnet_l,4,0.16,0.506,True
mixnet_l,8,0.234,1.05,True
mixnet_l,32,71.416,90.388,True
mixnet_l,64,75.1,92.334,True
mixnet_l,128,77.39,93.45,True
mixnet_l,256,78.72,94.098,True
